name,desc,cd,充能方式,触发模式
愚者,"打乱所有棋子位置(75%概率不动）",8,回合,立即生效
魔术师,"交换我方两子位置",6,回合,立即生效
女祭司,"在我方兵线随机位置生成一个兵",3,回合,被动
皇后,"所有棋子获得无敌",3,被吃,下回合生效
皇帝,"指定己方一子无敌",3,回合,被动
教皇,"象落位处的己方棋子获得无敌",0,被动,被动
恋人,"每被吃两个子可以复活一子到同类棋子出生位置,位置全部被占则不可复活",0,被动,被动
战车,"指定车相邻一子，落至该车所能落位",3,回合,立即生效
正义,"马不会被别马腿,可跳过阻挡,可跳至另一马所能落位",0,被动,被动
隐者,"下回合移动的子隐身一回合，隐身子无法攻击",4,回合,立即生效
命运之轮,"该回合可额外移动一次（不能连续动同一子）",4,回合,下回合生效
力量,"主动技能充能上限-1",0,被动,被动
倒吊人,"获得对方棋子控制权一回合",2,回合,下回合生效
死亡,"摧毁敌我各一枚指定的同类型子",2,被吃,立即生效
节制,"跳过该回合，下回合己方追加一额外回合",0,主动,立即触发
恶魔,"敌方无法使用同类型的子连续吃掉我方棋子",0,被动,被动
塔,"开局额外获得四枚兵;兵可斜向前吃子",0,被动,被动
星星,"每回合一次,兵/卒可无代价移动(不消耗行动)",0,被动,被动
月亮,"象的移动距离不受限制",0,被动,被动
太阳,"车可以斜走一格",0,被动,被动
审判,"每回合随机禁用敌方一个技能",0,被动
世界,"每回合每个己方棋子都会有10%概率变为任意棋子（将帅除外）",0,被动,被动

愚者？,"复原所有棋子位置（不复活被吃子）",16,回合,立即生效（开局无充能）
魔术师？,"交换敌方两子位置",6,回合,立即生效
女祭司？,"在我方底线随机位置生成一个随机棋子",7,回合,被动
皇后？,"所有棋子获得反制（被吃时同归于尽）",3,被吃,被动
皇帝？,"指定己方一子获得反制（被吃时同归于尽）",3,回合,被动
教皇？,"象落位处的己方棋子获得反制（被吃时同归于尽）",0,被动,被动
恋人？,"每被吃五个子随机摧毁对方三个子",0,被动,被动
战车？,"车能落至相邻子（不含对角相邻）可以落位的位置",3,回合,立即生效
正义？,"炮吃子变为隔两子，使用技能后在隔一二子间切换",2,回合,下回合生效
隐者？,"敌我所有子进入隐身三回合",12,回合,立即生效（开局无充能）
命运之轮？,"随机两子进入协同状态（不消耗步数）",6,回合,下回合生效
力量？,"主动技能充能上限-1/3",0,被动,被动
倒吊人？,"获得对方棋子控制权连续三回合，该三回合内不能吃子",9,回合,下回合生效
死亡？,"摧毁敌我各随机一子（将帅除外），己方有50%概率免疫摧毁",2,被吃,立即生效
节制？,"这回合追加一次行动，跳过下回合",0,主动,立即触发（不占用移动）
恶魔？,"敌方吃子后我方对其他类型棋子攻击全部免疫，直到2回合后或同类型子再次吃子",0,被动,被动
塔？,"开局失去所有兵;我方所有子可八向移动一格",0,被动,被动
星星？,"每回合一次,兵/卒可无代价移动(不消耗行动)",0,被动,被动
月亮？,"象的移动步数不受限制",0,被动,被动
太阳？,"己方没有炮，车变为八向无限距离移动",0,被动,被动
审判？,"每回合使敌方失去一个技能并重新随机抽取",0,被动
世界？,"每回合每个敌方棋子都会有10%概率变为任意棋子（将帅除外）",0,被动,被动
