id,name,tip,desc,cat
# 技能列表 —— 每行一个技能,保存后重启游戏生效
# 列说明:
#   id   唯一英文标识(不要重复、不要改,游戏逻辑按它识别)
#   name 技能显示名(中文,显示在技能卡第一行)
#   tip  类型/触发提示(显示在技能卡第二行,如"被动"、"每回合一次")
#   desc 技能描述(显示在技能卡第三行)
#   cat  分类:棋子 / 全局 / 数值
# 以 # 开头的行是注释,会被忽略;想临时禁用某技能,在行首加 #
# 新增技能后,游戏可以抽取到它,但具体效果需要在脚本中实现(告诉我 id 即可)
flying_horse,高维视角,被动 · 马强化,"马不会被别马腿,可跳过阻挡",棋子
rook_diagonal,漂移,被动 · 车强化,车可以斜走一格,棋子
retreat_pawn,计划C,被动 · 每回合一次,"每回合一次,兵/卒可无代价向后移动一格(不消耗行动)",棋子
elephant_river,超距作用,被动 · 象强化,象的移动距离不受限制,棋子
cannon_double,垫脚石,被动 · 炮强化,"炮吃子时,隔一个或两个子均可",棋子
advisor_escape,忠诚,被动 · 士强化,"士不可被炮越过，与帅/将相邻时（不含对角）不可被吃",棋子
veteran_camp,团结,被动 · 开局生效,"开局额外获得两枚兵;兵过河后可斜向前吃子",全局
double_move,速度取胜,被动 · 每4回合,"每 4 个回合,该回合可额外移动一次",全局
elite_pawn,背水,被动 · 兵强化,过河后的兵/卒可以一次冲锋两格,数值
,生生不息,被动,"每被吃三个子可以复活一子到同类棋子出生位置,位置被占则不可复活",
,,,,,
